@relation 3features

@attribute 104 numeric
@attribute 546.1 numeric
@attribute 38.33244424 numeric
@attribute 0.228698225 numeric
@attribute 0.901184688 numeric
@attribute 2.80E-01 numeric

@data
1008,164.6,51.278709,0.009799,0.97294,0.394
122,969.2,45.987462,0.192686,0.827442,0.347
102,470,40.070688,0.233484,0.915081,0.295
142,780.6,45.27225,0.16338,0.859599,0.341
110,201.1,53.963709,0.215385,0.965842,0.418
176,237.7,45.802442,0.128846,0.958776,0.346
122,472.1,22.56747,0.192686,0.914694,0.14
223,1114.3,43.704821,0.098448,0.803446,0.327
118,318.4,31.147947,0.199739,0.943374,0.216
109,343.5,35.738666,0.217502,0.938632,0.257
118,728.8,27.966101,0.199739,0.868628,0.188
159,124.3,22.687854,0.144267,0.980836,0.141
179,521.8,38.162211,0.126429,0.9056,0.278
105,109.5,15.032604,0.226374,0.983751,0.0737
132,188.7,28.680715,0.176923,0.968248,0.194
157,185.3,29.217185,0.146301,0.968909,0.199
159,866.5,27.381813,0.144267,0.844814,0.183
170,397.6,18.162408,0.133937,0.92849,0.101
274,345.7,40.449618,0.07726,0.938217,0.298
160,320.4,22.718051,0.143269,0.942995,0.142
768,728.3,24.216426,0.017668,0.868716,0.155
167,348,24.216426,0.136619,0.937784,0.155
121,320.9,17.109371,0.194406,0.9429,0.0921
196,160.7,17.109371,0.114129,0.973701,0.0921
164,152.6,17.109371,0.1394,0.975284,0.0921
486,782.9,49.416489,0.036847,0.8592,0.378
248,554.8,49.416489,0.086973,0.899609,0.378
1621,1151,49.416489,0.000275,0.797475,0.378
118,285.9,48.906971,0.199739,0.949548,0.373
256,521.6,47.089156,0.083774,0.905636,0.357
133,349.6,29.756895,0.175477,0.937483,0.204
192,744.8,24.07157,0.116827,0.86583,0.154
215,447.4,28.696298,0.102683,0.919246,0.195
109,297.68,26.980628,0.217502,0.947305,0.179
293,371.1,30.547606,0.071252,0.933445,0.211
162,231.95,47.826028,0.141311,0.959883,0.364
182,268.3,36.482253,0.124091,0.952908,0.263
168,400.6,29.424896,0.135714,0.92793,0.201
280,381.3,42.8138,0.075275,0.931534,0.319
210,401.8,39.378333,0.105495,0.927707,0.289
615,394,30.526285,0.025891,0.929161,0.211
192,281.2,29.240458,0.116827,0.950444,0.199
120,270.7,30.814417,0.196154,0.952449,0.213
209,362.1,35.554567,0.106073,0.935133,0.255
475,325.19,26.216606,0.038057,0.942089,0.173
197,408.3,28.453509,0.113471,0.926496,0.192
205,386.6,30.699035,0.108443,0.930543,0.212
1190,848.9,21.496245,0.005947,0.847824,0.131
205,316.9,6.696872,0.108443,0.943658,0
633,807.9,32.703809,0.024717,0.854874,0.23
140,386.4,40.517349,0.165934,0.930581,0.299
225,400.9,26.147436,0.097436,0.927874,0.172
285,351.4,49.915795,0.073684,0.937144,0.382
284,466.14,58.228643,0.073998,0.915791,0.456
420,517.5,22.699804,0.045055,0.906383,0.142
154,291.2,51.951428,0.149451,0.948538,0.4
214,328.8,32.279092,0.103235,0.941406,0.226
300,545.8,50.806517,0.069231,0.901239,0.39
777,173.6,9.423448,0.017285,0.971185,0.0241
106,123.5,51.027142,0.224093,0.980993,0.392
99,340.6,41.475005,0.241026,0.939179,0.308
306,307.43,43.027774,0.067572,0.945453,0.321
93,544.8,36.524611,0.257568,0.90142,0.264
638,194.3,29.719634,0.024403,0.967161,0.204
100,306.2,35.863905,0.238462,0.945687,0.258
121,299.6,35.955323,0.194406,0.94694,0.259
107,306.3,47.391391,0.221855,0.945668,0.36
210,515.5,39.378333,0.105495,0.906748,0.289
458,444.1,48.83272,0.04004,0.919856,0.373
166,197.7,33.767835,0.137535,0.966501,0.239
179,365.4,39.634669,0.126429,0.934514,0.291
187,374.7,23.331596,0.120362,0.93277,0.147
174,305.2,40.907336,0.130504,0.945877,0.302
189,466.8,27.248074,0.118926,0.915669,0.182
118,195.6,30.916199,0.199739,0.966909,0.214
173,679.8,15.46748,0.131347,0.877251,0.0776
137,224.7,35.678734,0.169905,0.96128,0.256
179,405.7,26.686752,0.126429,0.92698,0.177
328,1295.1,26.484028,0.062008,0.774408,0.175
267,790.4,34.548598,0.079689,0.8579,0.246
155,492.6,30.222382,0.148387,0.910933,0.208
465,401.05,17.506434,0.039206,0.927846,0.0956
129,327.4,25.678249,0.181395,0.941671,0.168
192,512.5,44.136201,0.116827,0.907295,0.331
205,596.7,32.511743,0.108443,0.892056,0.228
456,1254,46.629409,0.040283,0.780927,0.353
124,337.1,28.139424,0.18933,0.939839,0.19
188,537.1,37.915385,0.11964,0.902818,0.276
415,888.9,58.67857,0.045783,0.840997,0.46
403,593.7,25.735044,0.047605,0.892594,0.168
232,604.1,33.173788,0.094032,0.890728,0.234
269,823.5,46.005932,0.078982,0.852186,0.348
213,418.3,31.600857,0.103792,0.924637,0.22
567,703,31.600857,0.029385,0.873158,0.22
114,233.9,31.600857,0.207287,0.959508,0.22
356,655,30.679003,0.05592,0.881645,0.212
221,277.7,45.330216,0.099478,0.951112,0.342
559,472.2,29.072135,0.030026,0.914676,0.198
342,572.2,29.072135,0.058839,0.896465,0.198
316,268.4,29.756895,0.064946,0.952888,0.204
517,967.6,29.756895,0.033715,0.827711,0.204
381,855.42,29.756895,0.051242,0.846708,0.204
153,285.4,29.756895,0.150528,0.949643,0.204
143,1889.5,22.946825,0.16213,0.685166,0.144
885,1690.6,23.045931,0.013299,0.714018,0.145
958,1605.6,51.598867,0.011113,0.72665,0.397
520,3539.5,74.195981,0.033432,0.478506,0.597
576,1731.4,61.099013,0.028686,0.70802,0.481
281,2026.3,41.11315,0.074952,0.665876,0.304
910,5376.6,36.665161,0.012511,0.300591,0.265
482,4345.86,45.830333,0.037281,0.394803,0.346
214,2171,49.329986,0.103235,0.645944,0.377
339,9900,17.109371,0.059496,0.002539,0.0921
1280,1870.8,49.416489,0.004447,0.687838,0.378
595,9950,19.63961,0.027279,0,0.114
696,1935.6,36.176247,0.021088,0.678617,0.261
449,4927.3,46.959391,0.041151,0.340059,0.356
621,5436.74,28.462063,0.025492,0.295483,0.192
597,2098.3,25.271499,0.027136,0.655899,0.164
1650,3749.59,37.871891,0,0.455752,0.276
347,2210.5,26.077689,0.05777,0.640586,0.171
1255,2656.4,43.193081,0.004842,0.582411,0.323
633,2862.1,29.072135,0.024717,0.556934,0.198
55,96.7,71.95723,0.446154,0.986279,0.577
103,177.4,115.731271,0.231068,0.970445,0.964
234,223.3,119.791759,0.093097,0.961551,1
173,382.5,87.063086,0.131347,0.93131,0.711
166,289.8,87.063086,0.137535,0.948805,0.711
208,476.9,87.063086,0.106657,0.913812,0.711
169,497,87.063086,0.13482,0.910127,0.711
238,788.4,87.063086,0.091273,0.858246,0.711
222,645.8,76.270335,0.09896,0.88328,0.615
188,484.7,76.270335,0.11964,0.912381,0.615
174,41.4,76.270335,0.130504,0.997277,0.615
52,130.4,76.270335,0.472781,0.979636,0.615
401,1309.6,69.576426,0.047919,0.772119,0.556
929,70.8,75.85256,0.01194,0.991415,0.611
45,1690.74,79.42353,0.548718,0.713998,0.643
127,369.1,62.588515,0.184494,0.933819,0.494
78,180.7,92.313749,0.310059,0.969803,0.757
202,583.8,97.640727,0.110282,0.894375,0.804
349,532.6,90.921777,0.057351,0.903635,0.745
200,333.6,90.921777,0.111538,0.940499,0.745
76,117.1,38.95744,0.318623,0.982253,0.285
48,230.1,48.845467,0.513462,0.96024,0.373
90,124.4,34.446831,0.266667,0.980816,0.245
44,69.8,49.643185,0.561538,0.991614,0.38
25,27.8,32.950966,1,1,0.232
62,224.8,27.097607,0.394045,0.961261,0.18
77,165.3,26.731213,0.314286,0.972803,0.177
57,184.8,31.784732,0.42996,0.969006,0.222
60,126.6,18.201487,0.407692,0.980383,0.102
71,377.6,45.59474,0.342145,0.932227,0.344
87,193.9,24.216426,0.276393,0.967238,0.155
74,111.4,48.728918,0.327651,0.983376,0.372
53,162.1,24.07157,0.46357,0.973428,0.154
85,165.3,32.258959,0.283258,0.972803,0.226
57,330.7,47.336885,0.42996,0.941047,0.359
79,162.8,30.065812,0.30594,0.973291,0.207
66,135,24.640555,0.369231,0.978733,0.159
54,315.2,30.358066,0.454701,0.94398,0.209
84,977.4,56.544524,0.286813,0.826069,0.441
58,265.5,16.078577,0.422281,0.953443,0.083
47,72.6,29.653161,0.524714,0.991057,0.203
78,195.1,55.009099,0.310059,0.967006,0.427
87,307.8,47.377949,0.276393,0.945383,0.36
79,320,37.749507,0.30594,0.943071,0.275
45,153.4,31.600857,0.548718,0.975128,0.22
