@relation excel

@attribute node1 numeric
@attribute node2 numeric
@attribute weight numeric

@data
0,1,1
0,2,1
0,3,1
1,0,1
1,2,1
1,4,1
2,0,1
2,1,1
2,3,1
3,0,1
3,2,1
3,18,0.01
4,1,1
4,5,1
4,6,1
4,7,1
5,4,1
5,6,1
5,7,1
6,4,1
6,5,1
6,7,1
6,10,1.5
7,4,1
7,5,1
7,6,1
7,8,1
8,7,1
8,9,1
8,11,1
8,12,1
8,18,0.01
9,8,1
9,10,1
9,12,1
10,6,1.5
10,9,1
10,13,1
11,8,1
11,12,1
11,14,1
12,8,1
12,9,1
12,11,1
12,13,1
12,15,1
12,16,1
13,10,1
13,12,1
13,16,1
14,11,1
14,15,1
15,12,1
15,14,1
15,16,1
16,12,1
16,13,1
16,15,1
17,18,1
17,19,1
17,20,1
18,3,0.01
18,8,0.01
18,17,1
19,17,1
19,20,1
20,17,1
20,19,1
